?o	?gid	?name	?wkt
401	95982	Niederlinxweiler	"POINT(7.16 49.434)"
402	100347	Altrip	"POINT(8.502 49.432)"
403	96596	Aschbach	"POINT(6.948 49.431)"
404	99857	Urexweiler	"POINT(7.084 49.43)"
405	96394	Dannstadt-Schauernheim / Dannstadt-Schauernheim / Dannstadt / Dannstadt	"POINT(8.313 49.43)"
406	97315	Rödersheim-Gronau / Rödersheim-Gronau / Rödersheim / Rödersheim	"POINT(8.258 49.43)"
407	97900	Spesbach	"POINT(7.504 49.426)"
408	95408	Hüttersdorf	"POINT(6.844 49.423)"
409	95185	Weidenthal	"POINT(7.991 49.421)"
410	94602	Fürth	"POINT(7.236 49.419)"
411	95341	Kindsbach	"POINT(7.61 49.416)"
412	97144	Haustadt	"POINT(6.725 49.413)"
413	96069	Lebach	"POINT(6.911 49.411)"
414	99557	Schönenberg-Kübelberg	"POINT(7.364 49.407)"
415	96598	Meckenheim	"POINT(8.239 49.406)"
416	98850	Dansenberg	"POINT(7.725 49.405)"
417	97225	Ruppertsberg	"POINT(8.198 49.399)"
418	96541	Waldleiningen	"POINT(7.882 49.398)"
419	96030	Oberesch	"POINT(6.567 49.397)"
420	97440	Wustweiler	"POINT(7.04 49.396)"
421	100830	Münchwies	"POINT(7.245 49.395)"
422	98349	Stennweiler	"POINT(7.114 49.391)"
423	97333	Königsbach	"POINT(8.162 49.388)"
424	100273	Gerlfangen	"POINT(6.617 49.382)"
425	95309	Mölschbach	"POINT(7.825 49.381)"
426	97910	Falscheid	"POINT(6.89 49.38)"
427	96064	Stelzenberg	"POINT(7.739 49.379)"
428	94306	Gimmeldingen	"POINT(8.154 49.376)"
429	94514	Esthal	"POINT(7.986 49.376)"
430	96847	Diefflen	"POINT(6.763 49.375)"
431	97068	Otterstadt	"POINT(8.455 49.374)"
432	98212	Lambrecht (Pfalz)	"POINT(8.069 49.373)"
433	100034	Mittelbrunn	"POINT(7.55 49.373)"
434	95077	Wiesbach	"POINT(6.981 49.37)"
435	95171	Iggelheim	"POINT(8.308 49.366)"
436	95907	Martinshöhe	"POINT(7.482 49.364)"
437	100008	Merchweiler	"POINT(7.056 49.357)"
438	100996	Landsweiler / Landsweiler / Landsweiler-Reden / Landsweiler-Reden	"POINT(7.132 49.356)"
439	100860	Linden	"POINT(7.644 49.352)"
440	97835	Bechhofen	"POINT(7.408 49.349)"
441	95167	Bexbach	"POINT(7.258 49.348)"
442	94786	Niedaltdorf	"POINT(6.593 49.342)"
443	99135	Erbach	"POINT(7.32 49.338)"
444	94671	Niedersalbach	"POINT(6.91 49.336)"
445	97012	Iggelbach	"POINT(7.917 49.334)"
446	96588	Holz	"POINT(6.987 49.332)"
447	99802	Krähenberg	"POINT(7.464 49.33)"
448	95806	Wallerfangen	"POINT(6.72 49.328)"
449	99023	Hermersberg	"POINT(7.628 49.323)"
450	94004	Lachen	"POINT(8.196 49.322)"
451	97918	Speyer / Speyer / Speyer / Speyer / Speyer / Espira / Espira / Espira / Espira / Espira / Spire / Spire / Spire / Spire / Spire / Spiers / Spiers / Spiers / Spiers / Spiers / Spires / Spires / Spires / Spires / Spires	"POINT(8.431 49.319)"
452	100667	Hülzweiler	"POINT(6.819 49.319)"
453	94271	Hanhofen	"POINT(8.346 49.317)"
454	98913	Wallhalben	"POINT(7.524 49.316)"
455	94099	Spiesen-Elversberg / Spiesen-Elversberg / Spiesen / Spiesen	"POINT(7.152 49.315)"
456	96973	Heltersberg	"POINT(7.715 49.312)"
457	97095	Beeden	"POINT(7.314 49.309)"
458	97573	Maikammer	"POINT(8.132 49.306)"
459	98557	Geinsheim	"POINT(8.256 49.305)"
460	95313	Kirrberg	"POINT(7.368 49.301)"
461	97740	Harthausen	"POINT(8.347 49.296)"
462	98110	Püttlingen	"POINT(6.885 49.289)"
463	95236	Höheinöd	"POINT(7.608 49.287)"
464	94828	Kirkel-Neuhäusel	"POINT(7.225 49.284)"
465	94155	Neuweiler	"POINT(7.067 49.283)"
466	97665	Venningen	"POINT(8.174 49.281)"
467	94829	Battweiler	"POINT(7.463 49.278)"
468	100714	Bous	"POINT(6.795 49.275)"
469	96644	Leimen	"POINT(7.772 49.273)"
470	97406	Rhodt unter Rietburg	"POINT(8.111 49.272)"
471	94033	Altforweiler	"POINT(6.707 49.272)"
472	98063	Freimersheim (Pfalz)	"POINT(8.23 49.271)"
473	95528	Massweiler	"POINT(7.53 49.271)"
474	95713	Mechtersheim	"POINT(8.399 49.267)"
475	97038	Bierbach	"POINT(7.282 49.263)"
476	95870	Ramberg	"POINT(8.009 49.262)"
477	95607	Altenkessel	"POINT(6.917 49.262)"
478	95819	Weingarten (Pfalz)	"POINT(8.291 49.26)"
479	101080	Lingenfeld	"POINT(8.343 49.249)"
480	93922	Burrweiler	"POINT(8.076 49.248)"
481	100041	Überherrn	"POINT(6.698 49.243)"
482	96131	Niederwürzbach	"POINT(7.2 49.243)"
483	520303	Webenheim	"POINT(7.272 49.241)"
484	95255	Essingen	"POINT(8.174 49.236)"
485	95474	Klarenthal	"POINT(6.897 49.231)"
486	96156	Zeiskam	"POINT(8.249 49.228)"
